checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
dpo__none,24,last_prompt,logistic,0.329413473282227,-0.24715739938439826,-0.11024157121755009,4.48392374409576,1.0,1.0,0.19491762124588546,0.01677875091035498,210,790,565,250,1000
dpo__none,26,last_prompt,logistic,0.33618594880796293,-0.33753801552451035,-0.12691004004007753,5.319327224511436,1.0,1.0,0.192033168682438,0.01246602439393335,210,790,565,250,1000
dpo__none,31,last_prompt,logistic,0.33920892353625637,-1.4027149306198505,-0.2313178127338195,12.128032113410768,1.0,1.0,0.15851415077177966,0.0011053695017769812,210,790,565,250,1000
dpo__mistral_safety,8,last_prompt,logistic,0.3574659318432353,-0.05256537837293719,-0.08191003641784808,1.283490538443547,0.9938650306748467,0.9968,0.1321083225475064,0.04466538973184269,260,740,565,250,1000
dpo__mistral_safety,16,last_prompt,logistic,0.33707816703546584,-0.13167313902814176,-0.10458011905883612,2.518129453535299,1.0,1.0,0.22955661066006394,0.053522884236685615,260,740,565,250,1000
dpo__mistral_safety,19,last_prompt,logistic,0.3067978716000424,-0.25812567071501946,-0.16304685676085645,3.1662759508895864,1.0,1.0,0.23255467930581034,0.049685184848800884,260,740,565,250,1000
dpo__mistral_safety,24,last_prompt,logistic,0.30233301928295153,-0.3912007083714468,-0.17355585945874022,4.508066850539814,1.0,1.0,0.2359228875772988,0.04651371346673257,260,740,565,250,1000
dpo__mistral_safety,26,last_prompt,logistic,0.30355830362724207,-0.5362560457858593,-0.19815889016043547,5.412384428997256,1.0,1.0,0.2407906236171789,0.04276280387682832,260,740,565,250,1000
dpo__mistral_safety,31,last_prompt,logistic,0.31651746569639316,-1.7226498956742293,-0.28342784163725077,12.155826934454716,1.0,1.0,0.21536443912684994,0.034976874101874306,260,740,565,250,1000
final__none,8,last_prompt,logistic,0.36007533904743005,-0.002503930535966182,-0.0038484584410685163,1.3012641681384358,0.9865030674846625,0.996,0.12028042008243373,0.05007341566718773,214,786,565,250,1000
final__none,16,last_prompt,logistic,0.3406344156604944,-0.12593554653661135,-0.10328567456308328,2.4385869012201553,1.0,1.0,0.2088764295069381,0.040477730928276015,214,786,565,250,1000
final__none,19,last_prompt,logistic,0.3306728986415831,-0.1741448649129358,-0.11056173401833277,3.150183315396627,1.0,1.0,0.1897441131608086,0.03500693462553055,214,786,565,250,1000
final__none,24,last_prompt,logistic,0.3292669275182919,-0.245224620078959,-0.10978789844160963,4.467243176339348,1.0,1.0,0.18920710750632294,0.02405749656747912,214,786,565,250,1000
final__none,26,last_prompt,logistic,0.3390110386691051,-0.3369019160155149,-0.1272069076525302,5.296912286175109,1.0,1.0,0.18446756351578422,0.018077021341377335,214,786,565,250,1000
final__none,31,last_prompt,logistic,0.34012357944987814,-1.370102809418,-0.22569648129142061,12.141109170850697,1.0,1.0,0.15269475956433123,0.009204007137737074,214,786,565,250,1000
final__mistral_safety,8,last_prompt,logistic,0.35756945349480684,-0.052157332218971814,-0.08126096394712327,1.2836995695229687,0.9938650306748467,0.9968,0.13507222221532342,0.04584989679530093,260,740,565,250,1000
final__mistral_safety,16,last_prompt,logistic,0.33692910022835576,-0.13726189320754617,-0.10886867861377265,2.5216048353907654,1.0,1.0,0.22947438357269112,0.05273911564519931,260,740,565,250,1000
final__mistral_safety,19,last_prompt,logistic,0.3046055310595883,-0.27944426917764104,-0.1763082456047201,3.1699512205929383,1.0,1.0,0.23730928937396484,0.05294229687651897,260,740,565,250,1000
final__mistral_safety,24,last_prompt,logistic,0.30066812977355667,-0.4029861574022692,-0.17978227208632305,4.48304666222901,1.0,1.0,0.24077032573802573,0.051960279898613765,260,740,565,250,1000
final__mistral_safety,26,last_prompt,logistic,0.3023616484981489,-0.5448356890370749,-0.2026038907436012,5.378333920808798,1.0,1.0,0.2482273561874802,0.05122315258320384,260,740,565,250,1000
final__mistral_safety,31,last_prompt,logistic,0.3167030899945701,-1.7017822672810974,-0.2774298494456575,12.268198758579794,1.0,1.0,0.2274273286399329,0.03856012439821664,260,740,565,250,1000
