checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
dpo__none,8,first_gen,logistic,0.3649387358043147,-0.15764059197688504,-0.18526748246634012,1.7017621212133176,0.9656441717791411,0.9928,0.3033187232854985,0.06011880074612687,210,790,565,250,1000
dpo__none,16,first_gen,logistic,0.3506851085977448,-0.16737462038489617,-0.09233126034059119,3.6255244381477154,1.0,1.0,0.22558300899943684,0.05419621393626883,210,790,565,250,1000
dpo__none,19,first_gen,logistic,0.3381695129098247,-0.27298085886807544,-0.11262566429981515,4.847578224113942,1.0,1.0,0.1865502450588347,0.04120002210513223,210,790,565,250,1000
dpo__none,24,first_gen,logistic,0.3507141407754173,-0.3054345791445627,-0.08546438194638857,7.147646123180541,1.0,1.0,0.1680800151707558,0.03687290942478089,210,790,565,250,1000
dpo__none,26,first_gen,logistic,0.35566913716174214,-0.30200674402921457,-0.07435115846019198,8.123793906746204,1.0,1.0,0.14599373323725914,0.031878321663467275,210,790,565,250,1000
dpo__none,31,first_gen,logistic,0.40252590303837765,-0.10395904679506497,-0.014036873375586113,14.812279631428126,1.0,1.0,0.11597271434427356,0.015328559490962276,210,790,565,250,1000
dpo__mistral_safety,8,first_gen,logistic,0.3665533464773841,-0.1443156932301992,-0.16996983540576846,1.6981329997252135,0.9595092024539877,0.9864,0.2839132689060354,0.029805471597893186,260,740,565,250,1000
dpo__mistral_safety,16,first_gen,logistic,0.33345137315180107,-0.3301291485517233,-0.20827381892251481,3.170145438918974,0.9950920245398773,0.9992,0.16007473739671987,0.018300502588731615,260,740,565,250,1000
dpo__mistral_safety,19,first_gen,logistic,0.33524383726732215,-0.5451246566245628,-0.25313595811313117,4.306971326301547,0.9975460122699387,0.9992,0.14368526150876154,0.007631473820985208,260,740,565,250,1000
dpo__mistral_safety,24,first_gen,logistic,0.3291042202310272,-0.7186307772633307,-0.22863212719367326,6.286349920145577,1.0,1.0,0.1188567871731899,0.005899587822075817,260,740,565,250,1000
dpo__mistral_safety,26,first_gen,logistic,0.3223669380550721,-0.8033250358039226,-0.21964538306649983,7.314745473713945,1.0,1.0,0.11305649803904363,0.006905853836074139,260,740,565,250,1000
dpo__mistral_safety,31,first_gen,logistic,0.3788136723885867,-1.0033853476173542,-0.15537275205874723,12.915847010780489,1.0,1.0,0.10261621967877052,0.0013284594780893846,260,740,565,250,1000
final__none,8,first_gen,logistic,0.35753635058172184,-0.177677851822346,-0.21144131944055342,1.680635102849895,0.9656441717791411,0.9936,0.3077876235070929,0.06070668429497184,214,786,565,250,1000
final__none,16,first_gen,logistic,0.34433795346553714,-0.15965270283528937,-0.09003608111560718,3.5464160780230713,1.0,1.0,0.2217086955260402,0.05482547623454166,214,786,565,250,1000
final__none,19,first_gen,logistic,0.3284554553139372,-0.29919523037087764,-0.12626784619576417,4.739056527613672,1.0,1.0,0.18363548265225546,0.04208384327289767,214,786,565,250,1000
final__none,24,first_gen,logistic,0.3467986239834191,-0.405233731566396,-0.11599433957105645,6.987129424848455,1.0,1.0,0.16514235256301593,0.03818995903078329,214,786,565,250,1000
final__none,26,first_gen,logistic,0.3557988079815768,-0.42519735819916293,-0.10670071698065552,7.969906299247263,1.0,1.0,0.14396849649463278,0.034007439594047215,214,786,565,250,1000
final__none,31,first_gen,logistic,0.4044951618853547,-0.384248548281107,-0.052761571288384525,14.565470242759787,1.0,1.0,0.11486830350493725,0.017498949458706576,214,786,565,250,1000
final__mistral_safety,8,first_gen,logistic,0.35589509641617656,-0.15296806764854573,-0.17683879662592955,1.7300283712303468,0.9619631901840491,0.9856,0.2979509299312328,0.03382628940698812,260,740,565,250,1000
final__mistral_safety,16,first_gen,logistic,0.31998331407461345,-0.36140597888901377,-0.22684394342396902,3.18638420258415,0.9950920245398773,0.9992,0.16292795381602804,0.01969491792501192,260,740,565,250,1000
final__mistral_safety,19,first_gen,logistic,0.3190394875536664,-0.6074174983263476,-0.28016750743990737,4.336102383011931,0.9975460122699387,0.9992,0.1444658127100261,0.00960229071263323,260,740,565,250,1000
final__mistral_safety,24,first_gen,logistic,0.3269013806836113,-0.7781401001720176,-0.24675674478940476,6.306940876822828,1.0,1.0,0.11763654225335014,0.0077915271042495685,260,740,565,250,1000
final__mistral_safety,26,first_gen,logistic,0.32242736786379356,-0.84613598837146,-0.2292015148511486,7.383336789209007,1.0,1.0,0.11179998187884399,0.00829047090434831,260,740,565,250,1000
final__mistral_safety,31,first_gen,logistic,0.3813580712885599,-1.16288787965411,-0.17679364788477572,13.15531291499812,1.0,1.0,0.1021115040856758,0.0025245630969196707,260,740,565,250,1000
