checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
sft__mistral_safety,24,last_prompt,mean_diff,-0.09172822535037994,-5.082690715789795,-1.2973204121903519,7.835675239562988,0.7361963190184049,0.9456,0.27075111865997314,-0.09880530834197998,353,647,565,250,1000
sft__mistral_safety,26,last_prompt,mean_diff,-0.08418664336204529,-5.910200595855713,-1.258219710820155,9.39454460144043,0.7251533742331289,0.944,0.26269784569740295,-0.11671578139066696,353,647,565,250,1000
sft__mistral_safety,31,last_prompt,mean_diff,-0.23880508542060852,-23.592254638671875,-1.8402717067547598,25.639968872070312,0.7055214723926381,0.9232,0.32737597823143005,-0.1933879554271698,353,647,565,250,1000
dpo__none,8,last_prompt,mean_diff,-0.027066532522439957,-1.0767580270767212,-1.1013640085377803,1.9553172588348389,0.7067484662576687,0.96,0.19166778028011322,-0.042656347155570984,210,790,565,250,1000
dpo__none,16,last_prompt,mean_diff,-0.011067228391766548,-1.9827296733856201,-1.0433439263100184,3.8007211685180664,0.7484662576687117,0.9584,0.3142051100730896,-0.03827720880508423,210,790,565,250,1000
dpo__none,19,last_prompt,mean_diff,-0.0010913852602243423,-2.545102596282959,-1.0039137360511554,5.070361137390137,0.7607361963190185,0.9568,0.2429608851671219,-0.06119711697101593,210,790,565,250,1000
dpo__none,24,last_prompt,mean_diff,0.03371821716427803,-3.22650146484375,-0.890267514542495,7.248386383056641,0.7754601226993865,0.9576,0.19667363166809082,-0.09516870230436325,210,790,565,250,1000
dpo__none,26,last_prompt,mean_diff,0.02873501181602478,-3.934703826904297,-0.9117946183857456,8.630680084228516,0.7607361963190185,0.9584,0.179960235953331,-0.10378365963697433,210,790,565,250,1000
dpo__none,31,last_prompt,mean_diff,-0.19316260516643524,-21.299795150756836,-1.6495619857179227,25.82478904724121,0.7202453987730061,0.9232,0.16675299406051636,-0.16517072916030884,210,790,565,250,1000
dpo__mistral_safety,8,last_prompt,mean_diff,-0.058965351432561874,-1.2161911725997925,-1.2185090480900256,1.9961955547332764,0.7055214723926381,0.9552,0.2012966275215149,-0.047694265842437744,260,740,565,250,1000
dpo__mistral_safety,16,last_prompt,mean_diff,-0.042503729462623596,-2.3407185077667236,-1.1531570419363042,4.0596699714660645,0.750920245398773,0.9584,0.32036155462265015,-0.00970589742064476,260,740,565,250,1000
dpo__mistral_safety,19,last_prompt,mean_diff,-0.13080714643001556,-3.920431137084961,-1.4530365571664785,5.396190643310547,0.7300613496932515,0.948,0.2950536608695984,-0.050258345901966095,260,740,565,250,1000
dpo__mistral_safety,24,last_prompt,mean_diff,-0.08824843913316727,-4.950156211853027,-1.2817966437205333,7.723777770996094,0.7349693251533742,0.944,0.2757306694984436,-0.05205491930246353,260,740,565,250,1000
dpo__mistral_safety,26,last_prompt,mean_diff,-0.08489548414945602,-5.834054946899414,-1.2535394721648951,9.308131217956543,0.7300613496932515,0.9456,0.2685970067977905,-0.056715235114097595,260,740,565,250,1000
dpo__mistral_safety,31,last_prompt,mean_diff,-0.2097371518611908,-22.403987884521484,-1.7312291180197312,25.88217544555664,0.7128834355828221,0.928,0.30236536264419556,-0.17167261242866516,260,740,565,250,1000
final__none,8,last_prompt,mean_diff,-0.0263838991522789,-1.0741078853607178,-1.09871747783974,1.9552030563354492,0.7067484662576687,0.96,0.17894446849822998,-0.009799297899007797,214,786,565,250,1000
final__none,16,last_prompt,mean_diff,-0.010835467837750912,-1.9824540615081787,-1.0423350217918452,3.8038711547851562,0.7484662576687117,0.9584,0.30803292989730835,-0.021985933184623718,214,786,565,250,1000
final__none,19,last_prompt,mean_diff,-0.0006404146552085876,-2.5379750728607178,-1.0022924118315455,5.064340591430664,0.7607361963190185,0.9568,0.2426871955394745,-0.0424811989068985,214,786,565,250,1000
final__none,24,last_prompt,mean_diff,0.03509357571601868,-3.1984145641326904,-0.8861127360215428,7.2189788818359375,0.7754601226993865,0.9576,0.20122173428535461,-0.07818306982517242,214,786,565,250,1000
final__none,26,last_prompt,mean_diff,0.029582470655441284,-3.9106674194335938,-0.9095368764241901,8.599249839782715,0.7595092024539877,0.9584,0.1829153299331665,-0.08763127028942108,214,786,565,250,1000
final__none,31,last_prompt,mean_diff,-0.1905916929244995,-21.20030975341797,-1.6403322999229277,25.848798751831055,0.7226993865030675,0.924,0.16844454407691956,-0.1391754448413849,214,786,565,250,1000
final__mistral_safety,8,last_prompt,mean_diff,-0.05679783970117569,-1.2076747417449951,-1.2101807653994265,1.9958584308624268,0.7042944785276074,0.9552,0.21064496040344238,-0.05356719344854355,260,740,565,250,1000
final__mistral_safety,16,last_prompt,mean_diff,-0.04263081029057503,-2.343445301055908,-1.1531209195758294,4.064526557922363,0.750920245398773,0.9576,0.32758384943008423,-0.011233942583203316,260,740,565,250,1000
final__mistral_safety,19,last_prompt,mean_diff,-0.1309245228767395,-3.9083938598632812,-1.4514924755312322,5.385344982147217,0.7300613496932515,0.948,0.30375322699546814,-0.04354114085435867,260,740,565,250,1000
final__mistral_safety,24,last_prompt,mean_diff,-0.08575989305973053,-4.873563289642334,-1.272269533942385,7.661211967468262,0.7361963190184049,0.944,0.28399354219436646,-0.041484300047159195,260,740,565,250,1000
final__mistral_safety,26,last_prompt,mean_diff,-0.0843869000673294,-5.773595809936523,-1.2506472930307195,9.232972145080566,0.7288343558282209,0.9432,0.27525436878204346,-0.043170176446437836,260,740,565,250,1000
final__mistral_safety,31,last_prompt,mean_diff,-0.2060723900794983,-22.225675582885742,-1.7201064894499571,25.842208862304688,0.7141104294478527,0.928,0.3054027855396271,-0.16064271330833435,260,740,565,250,1000
